pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
6968,BL,nse_cm,,MENONBE,MENONBE-BL,,MENONBE-BL,INE071D01033,,,,MENON BEARINGS LIMITED,,,5,1,-1,-1,2,-1,NSE,,,1110326400,,1110326400,0,0,0,0,1374624000,152.40-155.40,0,0,1378055676,,,,,,,,,,CASH,,,,,100,,,,,,,,T+1,315513000,0,1,0,1,0,15540,15240,1,1,1,0,0,1,0,5.604e+07,0,0,99999999
6969,BL,nse_cm,,GOCOLORS,GOCOLORS-BL,,GOCOLORS-BL,INE0BJS01011,,,,GO FASHION INDIA LTD,,,5,1,-1,-1,2,-1,NSE,,,1322697600,,1322697600,0,0,1377820800,1378339200,0,1339.00-1366.00,0,0,1378055676,,,,,,,,,,CASH,,,,,1000,,,,,,,,T+1,315513000,0,1,0,1,0,136600,133900,1,1,1,0,0,1,0,5.4009e+07,0,0,99999999
13810,EQ,nse_cm,,GREENPANEL,GREENPANEL-EQ,,GREENPANEL,INE08ZM01014,,,,GREENPANEL INDUSTRIES LTD,,,5,1,-1,-1,2,-1,NSE,,,1256256000,,1256256000,0,0,0,0,1360368000,305.20-457.80,0,0,1378058543,,,,,,,,,,CASH,,,,,100,,,,0,20,,,T+1,315513000,0,1,262054,1,0,45780,30520,1,1,1,0,0,1,0,1.22627e+08,0,0,262054
13811,BZ,nse_cm,,AJRINFRA,AJRINFRA-BZ,,AJRINFRA-BZ,INE181G01025,,,,AJR INFRA & TOLLING LTD,,,5,1,-1,-1,2,-1,NSE,,,1358899200,,1358899200,0,0,0,0,0,0.65-0.75,0,0,1378058543,,,,,,,,,,CASH,,,,,200,,,,0.00,100.00,,,T+1,315513000,0,1,30797864,1,0,75,65,1,1,1,0,0,1,0,9.41831e+08,0,0,30797864
13812,BZ,nse_cm,,FEL,FEL-BZ,,FEL-BZ,INE623B01027,,,,FUTURE ENTERPRISES LTD,,,5,1,-1,-1,2,-1,NSE,,,1358899200,,1358899200,0,0,0,0,0,0.80-0.90,0,0,1378058543,,,,,,,,,,CASH,,,,,200,,,,0.00,100.00,,,T+1,315513000,0,1,14876224,1,0,90,80,1,1,1,0,0,1,0,4.5493e+08,0,0,14876224
13813,BZ,nse_cm,,JBFIND,JBFIND-BZ,,JBFIND-BZ,INE187A01017,,,,JBF INDUSTRIES LTD,,,5,1,-1,-1,2,-1,NSE,,,1358899200,,1358899200,0,0,0,0,0,3.35-3.65,0,0,1378058543,,,,,,,,,,CASH,,,,,1000,,,,0.00,100.00,,,T+1,315513000,0,1,2677209,1,0,365,335,1,1,1,0,0,1,0,8.18718e+07,0,0,2677209
13815,BL,nse_cm,,KAMOPAINTS,KAMOPAINTS-BL,,KAMOPAINTS-BL,INE0BTI01029,,,,KAMDHENU VENTURES LIMITED,,,5,1,-1,-1,2,-1,NSE,,,1358985600,,1358985600,0,0,0,0,1375315200,184.70-188.40,0,0,1378055697,,,,,,,,,,CASH,,,,,500,,,,,,,,T+1,315513000,0,1,0,1,0,18840,18470,1,1,1,0,0,1,0,6.2871e+07,0,0,99999999
13816,EQ,nse_cm,,DAAWAT,DAAWAT-EQ,,DAAWAT,INE818H01020,,,,LT FOODS LIMITED,,,5,1,-1,-1,2,-1,NSE,,,850867200,,850867200,0,0,0,0,1376006400,131.80-197.60,0,0,1378058543,,,,,,,,,,CASH,,,,,100,,,,0,20,,,T+1,315513000,0,1,606998,1,0,19760,13180,1,1,1,0,0,1,0,3.47253e+08,0,0,606998
13817,BE,nse_cm,,KAMOPAINTS,KAMOPAINTS-BE,,KAMOPAINTS,INE0BTI01029,,,,KAMDHENU VENTURES LIMITED,,,5,1,-1,-1,2,-1,NSE,,,1358985600,,1358985600,0,0,0,0,1375315200,177.25-195.85,0,0,1378058543,,,,,,,,,,CASH,,,,,500,,,,0.00,100.00,,,T+1,315513000,0,1,536038,1,0,19585,17725,1,1,1,0,0,1,0,6.2871e+07,0,0,536038
13818,BL,nse_cm,,DAAWAT,DAAWAT-BL,,DAAWAT-BL,INE818H01020,,,,LT FOODS LIMITED,,,5,1,-1,-1,2,-1,NSE,,,850867200,,850867200,0,0,0,0,1376006400,163.05-166.30,0,0,1378055684,,,,,,,,,,CASH,,,,,100,,,,,,,,T+1,315513000,0,1,0,1,0,16630,16305,1,1,1,0,0,1,0,3.47253e+08,0,0,99999999
